Number	Offset	Address		Size	Type	String
15093	0038bdea	0078bdea	Section(1)['.rdata']	09	U	C&#x%04X;
15094	0038be00	0078be00	Section(1)['.rdata']	08	U	&#x%06X;
15095	0038be14	0078be14	Section(1)['.rdata']	06	U	&quot;
15096	0038be24	0078be24	Section(1)['.rdata']	06	U	&apos;
15097	0038be34	0078be34	Section(1)['.rdata']	05	U	&amp;
15098	0038be40	0078be40	Section(1)['.rdata']	06	A	output
15099	0038c2d8	0078c2d8	Section(1)['.rdata']	1a	A	<STRONG><FONT color="red">
15100	0038c2f4	0078c2f4	Section(1)['.rdata']	1d	A	<STRONG><FONT color="orange">
15101	0038c314	0078c314	Section(1)['.rdata']	14	A	<FONT color="green">
15102	0038c32c	0078c32c	Section(1)['.rdata']	07	A	</FONT>
15103	0038c334	0078c334	Section(1)['.rdata']	13	A	<FONT color="blue">
15104	0038c34c	0078c34c	Section(1)['.rdata']	12	A	CDataModelPropGrid
15105	0038c360	0078c360	Section(1)['.rdata']	12	A	CSelectionPropGrid
15106	0038c374	0078c374	Section(1)['.rdata']	09	A	CPropGrid
15107	0038c416	0078c416	Section(1)['.rdata']	05	A	o@hW
15108	0038c56c	0078c56c	Section(1)['.rdata']	10	A	%.3g, %.3g, %.3g
15109	0038c580	0078c580	Section(1)['.rdata']	09	A	image/png
15110	0038c58c	0078c58c	Section(1)['.rdata']	18	A	image/vnd.microsoft.icon
15111	0038c5a8	0078c5a8	Section(1)['.rdata']	09	A	image/bmp
15112	0038c5b4	0078c5b4	Section(1)['.rdata']	0a	A	image/jpeg
15113	0038da34	0078da34	Section(1)['.rdata']	08	A	(Script)
15114	0038dd1c	0078dd1c	Section(1)['.rdata']	05	A	Clear
15115	0038dd24	0078dd24	Section(1)['.rdata']	09	A	Browse...
15116	0038e168	0078e168	Section(1)['.rdata']	07	A	(Sound)
15117	0038e2d8	0078e2d8	Section(1)['.rdata']	09	A	(Texture)
15118	0038e2e4	0078e2e4	Section(1)['.rdata']	0b	A	audio/x-wav
15119	0038e8b4	0078e8b4	Section(1)['.rdata']	17	A	\ReflectionMetadata.xml
15120	0038e8cc	0078e8cc	Section(1)['.rdata']	09	A	browsable
15121	0038e8d8	0078e8d8	Section(1)['.rdata']	0a	A	Reflection
15122	0038e8e4	0078e8e4	Section(1)['.rdata']	0a	A	deprecated
15123	0038e8f0	0078e8f0	Section(1)['.rdata']	0b	A	preliminary
